timestamp,service_type,container_id,avg_p_latency,s_config,cores,cooldown
2025-06-02 12:07:17.529714,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,111,{'model_size': 1},2,0
2025-06-02 12:07:18.245428,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,43,{'quality': 700},2,1500
2025-06-02 12:07:18.536023,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,100,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:07:19.281246,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,36,{'quality': 700},2,2000
2025-06-02 12:07:19.628892,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,83,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:07:20.344973,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,40,{'quality': 700},2,0
2025-06-02 12:07:20.725908,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,78,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:07:21.367924,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,38,{'quality': 700},2,0
2025-06-02 12:07:21.730561,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,71,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:07:22.424732,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,30,{'quality': 600},2,1500
2025-06-02 12:07:22.732145,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,100,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:07:23.446872,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,28,{'quality': 600},2,0
2025-06-02 12:07:23.735929,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,91,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:07:24.466678,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,28,{'quality': 600},2,0
2025-06-02 12:07:24.738177,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,62,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:07:25.521329,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,28,{'quality': 600},2,0
2025-06-02 12:07:25.840269,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,78,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:07:26.542987,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,29,{'quality': 600},2,0
2025-06-02 12:07:26.925856,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,108,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:07:27.565597,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,29,{'quality': 600},2,0
2025-06-02 12:07:27.927873,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,71,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:07:28.650848,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,33,{'quality': 600},2,0
2025-06-02 12:07:28.949662,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,113,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:07:29.667059,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,33,{'quality': 600},2,0
2025-06-02 12:07:30.126724,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,117,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:07:30.734404,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,29,{'quality': 600},2,0
2025-06-02 12:07:31.136079,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,77,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:07:31.751511,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,36,{'quality': 600},2,0
2025-06-02 12:07:32.244411,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,110,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:07:32.776462,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,35,{'quality': 600},2,0
2025-06-02 12:07:33.347785,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,91,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:07:33.836996,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,31,{'quality': 600},2,0
2025-06-02 12:07:34.426818,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,119,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:07:34.855203,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,34,{'quality': 600},2,0
2025-06-02 12:07:35.433220,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,100,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:07:35.881164,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,28,{'quality': 600},2,0
2025-06-02 12:07:36.434593,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,90,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:07:36.939523,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,28,{'quality': 600},2,0
2025-06-02 12:07:37.526185,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,121,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:07:37.962875,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,28,{'quality': 600},2,0
2025-06-02 12:07:38.527810,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,83,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:07:38.979311,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,29,{'quality': 600},2,0
2025-06-02 12:07:39.627443,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,72,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:07:40.041913,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,30,{'quality': 600},2,0
2025-06-02 12:07:40.632791,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,71,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:07:41.063999,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,29,{'quality': 600},2,0
2025-06-02 12:07:41.638952,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,100,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:07:42.078735,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,28,{'quality': 600},2,0
2025-06-02 12:07:42.740199,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,78,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:07:43.137992,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,28,{'quality': 600},2,0
2025-06-02 12:07:43.827227,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,83,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:07:44.158691,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,29,{'quality': 600},2,0
2025-06-02 12:07:44.829662,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,91,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:07:45.175635,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,31,{'quality': 600},2,0
2025-06-02 12:07:45.926208,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,72,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:07:46.245595,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,31,{'quality': 600},2,0
2025-06-02 12:07:46.933359,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,77,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:07:47.269983,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,29,{'quality': 600},2,0
2025-06-02 12:07:48.032802,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,67,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:07:48.336020,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,30,{'quality': 600},2,0
2025-06-02 12:07:49.036704,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,91,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:07:49.366200,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,31,{'quality': 600},2,0
2025-06-02 12:07:50.136109,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,109,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:07:50.429378,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,28,{'quality': 600},2,0
2025-06-02 12:07:51.228112,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,108,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:07:51.454843,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,28,{'quality': 600},2,0
2025-06-02 12:07:52.330940,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,68,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:07:52.472382,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,28,{'quality': 600},2,0
2025-06-02 12:07:53.338558,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,62,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:07:53.542911,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,28,{'quality': 600},2,0
2025-06-02 12:07:54.441757,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,78,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:07:54.568458,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,27,{'quality': 600},2,0
2025-06-02 12:07:55.536827,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,67,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:07:55.623105,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,28,{'quality': 600},2,0
2025-06-02 12:07:56.629598,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,72,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:07:56.658199,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,28,{'quality': 600},2,0
2025-06-02 12:07:57.674369,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,28,{'quality': 600},2,0
2025-06-02 12:07:57.733533,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,78,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:07:58.738623,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,77,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:07:58.738802,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,29,{'quality': 600},2,0
2025-06-02 12:07:59.760291,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,28,{'quality': 600},2,0
2025-06-02 12:07:59.827032,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,83,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:08:00.776916,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,28,{'quality': 600},2,0
2025-06-02 12:08:00.832078,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,111,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:08:01.852656,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,29,{'quality': 600},2,0
2025-06-02 12:08:01.926003,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,84,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:08:02.867608,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,28,{'quality': 600},2,0
2025-06-02 12:08:02.929468,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,83,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:08:03.931605,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,62,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:08:03.936644,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,28,{'quality': 600},2,0
2025-06-02 12:08:04.935275,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,71,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:08:04.955660,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,28,{'quality': 600},2,0
2025-06-02 12:08:05.979578,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,29,{'quality': 600},2,0
2025-06-02 12:08:06.040788,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,69,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:08:07.056953,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,29,{'quality': 600},2,0
2025-06-02 12:08:07.128999,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,63,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:08:08.071912,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,28,{'quality': 600},2,0
2025-06-02 12:08:08.139035,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,91,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:08:09.140319,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,30,{'quality': 600},2,0
2025-06-02 12:08:09.233596,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,67,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:08:10.156850,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,29,{'quality': 600},2,0
2025-06-02 12:08:10.234005,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,66,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:08:11.178168,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,28,{'quality': 600},2,0
2025-06-02 12:08:11.327371,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,68,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:08:12.254874,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,28,{'quality': 600},2,0
2025-06-02 12:08:12.329375,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,62,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:08:13.282133,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,28,{'quality': 600},2,0
2025-06-02 12:08:13.331210,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,91,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:08:14.334648,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,66,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:08:14.341982,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,28,{'quality': 600},2,0
2025-06-02 12:08:15.335535,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,66,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:08:15.366377,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,29,{'quality': 600},2,0
2025-06-02 12:08:16.438988,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,28,{'quality': 600},2,0
2025-06-02 12:08:16.526748,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,79,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:08:17.468307,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,27,{'quality': 600},2,0
2025-06-02 12:08:17.535884,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,67,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:08:18.539663,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,91,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:08:18.540969,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,28,{'quality': 600},2,0
2025-06-02 12:08:19.560814,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,28,{'quality': 600},2,0
2025-06-02 12:08:19.640605,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,91,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:08:20.575616,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,29,{'quality': 600},2,0
2025-06-02 12:08:20.731543,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,83,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:08:21.638737,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,28,{'quality': 600},2,0
2025-06-02 12:08:21.828523,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,91,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:08:22.663726,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,27,{'quality': 600},2,0
2025-06-02 12:08:22.841173,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,67,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:08:23.728991,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,27,{'quality': 600},2,0
2025-06-02 12:08:24.025272,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,78,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:08:24.748660,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,28,{'quality': 600},2,0
2025-06-02 12:08:25.032350,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,59,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:08:25.766593,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,28,{'quality': 600},2,0
2025-06-02 12:08:26.133472,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,91,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:08:26.825108,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,28,{'quality': 600},2,0
2025-06-02 12:08:27.136967,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,125,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:08:27.857652,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,29,{'quality': 600},2,0
2025-06-02 12:08:28.225582,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,98,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:08:28.875609,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,28,{'quality': 600},2,0
2025-06-02 12:08:29.326594,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,122,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:08:29.936026,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,29,{'quality': 600},2,0
2025-06-02 12:08:30.330689,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,71,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:08:30.957779,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,28,{'quality': 600},2,0
2025-06-02 12:08:31.336234,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,111,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:08:31.971440,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,29,{'quality': 600},2,0
2025-06-02 12:08:32.427634,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,90,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:08:32.986708,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,30,{'quality': 600},2,0
2025-06-02 12:08:33.429285,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,71,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:08:34.042560,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,29,{'quality': 600},2,0
2025-06-02 12:08:34.434445,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,83,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:08:35.057691,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,29,{'quality': 600},2,0
2025-06-02 12:08:35.528490,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,99,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:08:36.082047,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,28,{'quality': 600},2,0
2025-06-02 12:08:36.536972,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,91,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:08:37.139351,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,29,{'quality': 600},2,0
2025-06-02 12:08:37.632715,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,84,"{'model_size': 3, 'quality': 256}",2,0
2025-06-02 12:08:38.160286,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,29,{'quality': 600},2,0
2025-06-02 12:08:38.641773,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,100,"{'model_size': 3, 'quality': 256}",2,0
